;Nombre;NIF;Localidad;País;Inmovilizado_Inmaterial;Fecha_Constitucion;Last_year;ROA23;Total_Activo;Ingresos_Explotacion;Empleados;Ratio_Liquidez;Ratio_Solvencia;CNAE;Ratio_Endeudamiento;EBITDA;Resultado_Ejercicio
42.;GUUK TELECOM SA.;A75238972;DONOSTIA/SAN SEBASTIAN;ESPANA;566;05/05/2020;31/12/2024;-6,58;12.598;6.434;7;51,41;0,51;6190;101,92;-517;-1.111
43.;INTERAMPLIFY EUROPEAN SEO DIVISION SL.;B05552302;ALHAMA DE MURCIA;ESPANA;n.d.;21/10/2019;31/12/2024;64,06;2.625;4.441;9;667,16;6,67;6311;0;1.687;1.295
44.;ELEMENT LOGIC SPAIN S.L.;B42978429;POZUELO DE ALARCON;ESPANA;n.d.;04/03/2021;31/12/2024;10,53;3.491;5.365;8;206,8;2,07;6209;73,24;374;140
45.;NUCLEO TECHNOLOGY INVESTMENTS SL;B16344806;BARCELONA;ESPANA;30;08/03/2019;31/12/2024;11,26;1.391;3.558;14;1.273,70;12,74;6201;1,84;239;106
46.;FASTLY CLOUD IBERICA SL.;B88490644;MADRID;ESPANA;n.d.;03/10/2019;31/12/2023;20,48;1.323;6.900;22;160,93;1,61;6209;0;275;204
47.;PROCESS CONTROL TECHNOLOGY S.L.;B56372733;MOLINS DE REI;ESPANA;n.d.;06/09/2023;31/12/2024;8,03;1.222;1.360;3;107,89;1,08;6201;0;98;83
48.;TELEFONIA MOVILES LEVANTE SL.;B01989474;ALCOBENDAS;ESPANA;55;30/09/2020;31/12/2024;53,88;683;5.155;6;65,29;0,65;6190;0;368;313
49.;NTT GLOBAL DATA CENTERS MAD1 SL.;B02820025;LAS ROZAS DE MADRID;ESPANA;n.d.;05/11/2020;31/03/2024;-3,58;75.924;6.525;19;2,86;0,03;6311;97,9;120;-5.304
50.;KNOWLEDGE DEVELOPMENT FOR RUGGED OPTICAL COMMUNICATIONS SL.;B05287032;TRES CANTOS;ESPANA;5.932;15/04/2021;31/12/2024;-22,86;8.955;253;31;71,38;0,71;2611;37,09;-1.953;-1.611
51.;ELECTRONIC BUSINESS COMMERCE S.L.;B67515395;BARCELONA;ESPANA;n.d.;04/10/2019;31/12/2024;8,23;5.687;8.972;20;100,05;1;6311;82,16;468;193
52.;ATIKA VENTURE SL.;B01982487;SEVILLA;ESPANA;323;29/09/2020;31/12/2024;13,72;1.540;981;3;331,44;3,31;6190;48,81;294;163
53.;ALSO SPAIN TECHNOLOGY, SOCIEDAD LIMITADA.;B02905511;MADRID;ESPANA;n.d.;10/12/2020;31/12/2023;-24;3.728;6.248;27;59,35;0,59;6209;88,51;-891;-921
54.;SOLUTIA LEVANTE SL.;B06928600;MURCIA;ESPANA;n.d.;18/06/2021;31/12/2024;0,23;1.752;1.115;45;101,18;1,01;6209;0;4;3
55.;FOCUS SMART POINT S.L.;B56372618;MOLINS DE REI;ESPANA;n.d.;06/09/2023;31/12/2024;4,34;1.096;1.179;2;104,13;1,04;6209;8,73;48;40
56.;CALIMACO TECHNOLOGIES SL.;B16993081;ALPEDRETE;ESPANA;83;08/10/2021;31/12/2024;68,32;1.322;2.856;37;529,12;5,29;6209;0;971;781
57.;UNNAX REGULATORY SERVICES, E.D.E. S.L.;B67615393;BARCELONA;ESPANA;1.192;27/04/2020;31/12/2024;1,11;66.740;4.571;41;100,35;1;6209;95,07;1.111;-375
58.;HUBSIDE IBERICA SL.;B88328091;BARCELONA;ESPANA;n.d.;21/02/2019;31/12/2022;n.d.;n.d.;n.d.;20;n.d.;n.d.;6201;n.d.;n.d.;n.d.
59.;KYNAXIS TECHNOLOGY SOLUTIONS SL.;B09633710;MADRID;ESPANA;n.d.;18/01/2022;31/12/2024;43,8;2.079;4.838;34;138,75;1,39;6202;23,24;911;691
60.;ESPUBLICO SISTEMAS SOCIEDAD LIMITADA.;B16944415;ZARAGOZA;ESPANA;392;28/09/2021;31/12/2024;67,95;1.898;4.122;31;296,2;2,96;6209;3,75;1.374;978
61.;TARGETECH IBERICA, SOCIEDAD LIMITADA.;B44648491;A CORUÑA;ESPANA;n.d.;03/02/2023;31/12/2024;46,14;261;2.074;1;161,41;1,61;6209;0,91;121;101
62.;VISARGERD S.L.;B04987509;BARCELONA;ESPANA;n.d.;08/03/2021;31/12/2024;10,53;629;1.567;20;100,47;1;6311;96,74;66;29
63.;BESOCCER SOLUTIONS SL.;B93693042;MALAGA;ESPANA;n.d.;05/06/2019;31/12/2024;-2,28;1.290;4.350;42;180,39;1,8;6209;20,55;19;-41
64.;YPSOMED SOFTWARE S.L.;B06892756;BARCELONA;ESPANA;n.d.;11/06/2021;31/03/2023;n.d.;n.d.;n.d.;38;n.d.;n.d.;6201;n.d.;n.d.;n.d.
65.;PARADOX TINTO S.L.;B01639236;SITGES;ESPANA;2;18/06/2020;31/12/2024;31,62;1.193;3.886;39;216,32;2,16;5821;0;411;377
66.;OXIGEN DATA CENTER S.L.;B67849315;ESPLUGUES DE LLOBREGAT;ESPANA;59;02/12/2021;31/12/2024;36,79;6.351;6.006;27;112,78;1,13;6311;16,03;2.478;1.973
67.;INTELEQUIA TECHNOLOGIES SL.;B02667145;SANTA CRUZ DE TENERIFE;ESPANA;0;09/10/2020;31/12/2024;21,54;1.617;3.838;36;153,96;1,54;6201;13,22;369;336
68.;EKKIDEN CONSULTING SL.;B42744821;MADRID;ESPANA;n.d.;07/01/2021;31/12/2023;3,09;4.083;5.128;20;100,54;1,01;6209;24,88;135;29
69.;SUPERPEDESTRIAN SPAIN S.L.;B01747716;BARCELONA;ESPANA;n.d.;07/07/2020;31/12/2023;1,01;23.518;5.106;18;93,22;0,93;6209;95,34;1.109;130
70.;ACRONIS SPAIN CYBER PROTECTION SL.;B44938413;MADRID;ESPANA;n.d.;23/03/2023;31/12/2024;2;1.402;1.229;47;94,61;0,95;6209;32,3;35;20
71.;TOUCHLESS ID SL.;B02689354;MADRID;ESPANA;1.034;13/10/2020;31/12/2024;41,01;4.003;3.439;15;247,88;2,48;5829;0,11;2.085;1.143
72.;LEOVEGAS SPAIN SL.;B10940930;MALAGA;ESPANA;n.d.;11/07/2022;31/12/2024;27,94;734;2.257;41;167,15;1,67;6201;40,87;223;132
73.;LAMBDA SEC SL.;B88514872;MADRID;ESPANA;n.d.;31/10/2019;31/12/2024;10,85;4.490;4.641;47;91,65;0,92;6209;43,01;487;342
74.;DATONO FIBRA SL;B72387723;ROTA;ESPANA;n.d.;20/12/2019;31/12/2024;18,35;1.428;4.352;29;228,08;2,28;6190;29,43;263;193
75.;VIVAMOVIL DE TELECOMUNICACIONES SL.;B02692440;CARMONA;ESPANA;36;19/10/2020;31/12/2024;45,74;2.324;4.273;10;86,62;0,87;6110;3,23;1.192;807
76.;LABHOUSE MOBILE S.L.;B04968699;BARCELONA;ESPANA;152;17/03/2021;31/12/2024;-102,54;960;345;15;235,28;2,35;6201;20,59;-972;-770
77.;AMURA INFORMATION TECHNOLOGIES SL.;B88304084;MADRID;ESPANA;1;01/02/2019;31/12/2023;41,98;2.544;4.628;46;210,65;2,11;6209;17,71;1.081;802
78.;BIDDEO MEDIA SOLUTIONS SL.;B88477088;MADRID;ESPANA;507;16/09/2019;31/12/2024;8,98;3.078;3.670;11;175,75;1,76;6201;48,99;480;129
79.;DISTRITO K SOFTWARE, S.L.;B56430416;A CORUÑA;ESPANA;n.d.;21/09/2023;31/12/2024;-10,87;89;7;24;2.258,10;22,58;6201;103,14;-10;-10
80.;7P SERVICIOS INTEGRADOS SLU;B04998456;GUADALAJARA;ESPANA;978;23/03/2021;31/12/2024;-11,51;13.373;1.634;12;70,59;0,71;6190;102,76;-1.394;-1.154
81.;LIMITLESS LAB S.L.;B05458369;BARCELONA;ESPANA;2;05/05/2021;31/12/2024;79,19;869;2.098;10;317,54;3,18;6201;3,86;694;575
82.;GLOBAL MEDIA GROUP EUROPE SL.;B10805448;MADRID;ESPANA;1.759;13/06/2022;31/12/2024;92,56;1.939;2.682;20;68,06;0,68;6202;0,12;2.144;1.498
83.;FRS SYSTEMS SPAIN SL.;B72380488;PALMA;ESPANA;n.d.;07/08/2019;31/12/2024;9,66;1.605;3.325;40;447,89;4,48;6209;0,04;180;165
84.;AIT INGREDIENTS IBERICA SL.;B88407234;SAN FERNANDO DE HENARES;ESPANA;143;30/05/2019;30/06/2024;14,62;1.684;4.793;9;171,18;1,71;6130;0;303;189
85.;NEXO TRAVEL SOLUTIONS SL.;B16628083;PALMA;ESPANA;423;30/04/2019;31/12/2024;11,46;1.133;3.698;3;87,87;0,88;6201;0,12;238;89
86.;GUINAZ ELECTRONICA SL.;B71494389;PERALTA/AZKOIEN;ESPANA;n.d.;28/11/2023;31/12/2024;n.d.;n.d.;n.d.;24;n.d.;n.d.;2611;n.d.;n.d.;n.d.
87.;ANHELA IT SL.;B02761401;MADRID;ESPANA;n.d.;05/11/2020;31/12/2024;46,36;1.464;4.044;43;294,12;2,94;6202;1,99;686;568
88.;EQS GROUP REGTECH SL.;B02662096;BARCELONA;ESPANA;n.d.;01/10/2020;31/12/2024;-37,64;742;2.360;31;66,31;0,66;6311;0;-255;-290
89.;DELIVERECT S.L.;B67385922;MADRID;ESPANA;n.d.;22/02/2019;31/12/2024;7,76;1.438;3.661;40;114,05;1,14;6209;57,86;126;57
90.;SLURP NETWORK S.L.;B01977578;BARCELONA;ESPANA;n.d.;23/09/2020;31/12/2024;29,29;356;2.616;7;165,89;1,66;6201;1,1;107;81
91.;CARTAGO TELECOM, SLU;B30924724;CARTAGENA;ESPANA;121;24/01/2019;31/12/2024;16,78;6.196;4.460;50;259,4;2,59;6190;0;1.477;806
92.;OAMLEC SL.;B88368469;MADRID;ESPANA;1.099;12/04/2019;31/12/2023;-5,35;5.319;4.245;10;45,65;0,46;6209;146,8;-273;-288
93.;DERBYSOFT TECHNOLOGY SPAIN S.L.;B67484246;BARCELONA;ESPANA;228;29/07/2019;31/12/2024;4,22;3.991;3.541;46;78,69;0,79;6202;0;195;168
94.;SHALION DATA SERVICES S.L.;B67438994;BARCELONA;ESPANA;1.252;16/05/2019;31/12/2024;-20,21;7.111;1.345;26;849,54;8,5;6209;12,58;-1.330;-1.124
95.;ATUAXANELA SL.;B01885383;CHANTADA;ESPANA;5;31/08/2020;31/12/2024;2,64;778;2.710;25;102,17;1,02;6110;17,29;25;9
96.;ANCHORPOINT STUDIOS S.L.;B72486525;BARCELONA;ESPANA;1;09/09/2022;31/12/2024;18,62;1.359;2.523;22;65,51;0,66;5821;35,87;275;243
97.;BADIAPP TECHNOLOGIES S.L.;B67536458;BARCELONA;ESPANA;3.393;15/11/2019;31/12/2024;-28,29;5.098;2.107;15;152,46;1,52;6209;2,21;-1.172;220
98.;NEXGEN CLOUD SL.;B01763614;MARBELLA;ESPANA;n.d.;22/07/2020;31/12/2024;13,91;886;2.754;18;429,01;4,29;6209;9,03;154;105
99.;SANTANDER GLOBAL CARDS & DIGITAL SOLUTIONS SL.;B88359757;BOADILLA DEL MONTE;ESPANA;38.741;04/04/2019;31/12/2024;-0,43;226.541;5.066;3;1.595,74;15,96;6209;0,04;-295;978
100.;IMATICA TECNOLOGIA SOCIEDAD LIMITADA.;B55338859;GIRONA;ESPANA;587;08/01/2019;31/12/2024;7,73;1.753;2.698;41;175,64;1,76;6209;41,77;202;100
101.;FACEVERIFY SOCIEDAD LIMITADA.;B67693663;BILBAO;ESPANA;n.d.;15/10/2021;31/07/2023;0,6;2.885;3.709;27;100,59;1,01;6209;0;18;11
102.;OSAPIENS COE SPAIN SL.;B02872182;MADRID;ESPANA;n.d.;26/11/2020;31/12/2024;50,87;178;974;45;193,87;1,94;6201;0;96;68
103.;WEEWOO, SOCIEDAD LIMITADA.;B01740448;LAS PALMAS DE GRAN CANARIA;ESPANA;1.680;15/07/2020;31/12/2024;-15,1;5.524;3.401;3;163,88;1,64;6201;99,26;1.826;-765
104.;STARTEND MARKETING SOCIEDAD LIMITADA.;B40599607;VALENCIA;ESPANA;n.d.;12/07/2019;31/12/2024;49,22;772;2.646;13;211,61;2,12;6201;0;385;284
105.;PINTEREST SPAIN TECHNOLOGY SL.;B88279591;MADRID;ESPANA;n.d.;01/01/2019;31/12/2024;13,24;1.000;2.779;11;150,45;1,5;6201;0;132;99
106.;PRIME SALES GLOBAL SL.;B02763084;MADRID;ESPANA;n.d.;04/11/2020;31/12/2023;1,67;3.837;3.541;20;101,41;1,01;6209;0;64;48
107.;VIMANTIK SOLUCIONES TECNOLOGICAS SL.;B42753970;MADRID;ESPANA;n.d.;15/01/2021;31/12/2024;11,87;1.217;1.482;40;121,83;1,22;6202;37,33;159;96
108.;SPARTA COMMODITIES SPAIN SL.;B88618798;MADRID;ESPANA;n.d.;16/06/2020;31/12/2024;14,3;198;2.498;46;82,72;0,83;6209;0;33;16
109.;MISURIAM SL.;B01684075;MADRID;ESPANA;9.751;18/06/2020;31/12/2024;-2,83;12.064;2.375;2;79,5;0,8;6201;16,6;-341;-364
110.;KUANTIKO STUDIO SL.;B88338512;MOSTOLES;ESPANA;n.d.;11/03/2019;31/12/2024;-16,39;22;0;16;4,75;0,05;6209;2.101,41;-3;-4
111.;CANDEX SOLUTIONS SPAIN S.L.;B67563783;BARCELONA;ESPANA;n.d.;20/12/2019;31/12/2023;0,34;1.607;3.364;20;100,19;1;6311;7,87;5;3
112.;ODDERS LAB SOCIEDAD LIMITADA.;B90422262;SEVILLA;ESPANA;1.180;13/02/2019;31/12/2024;55,23;3.974;5.289;37;223,12;2,23;6209;15,36;2.437;1.708
113.;MANIOBRAS ELECTRICAS Y SERVICIOS SERNA SOCIEDAD LIMITADA.;B02762185;L'ELIANA;ESPANA;62;05/11/2020;31/12/2024;8,96;997;2.132;26;158,67;1,59;2611;20,06;98;66
114.;FLOOX CHARGERS S.L.;B70694385;L'HOSPITALET DE LLOBREGAT;ESPANA;n.d.;09/02/2024;31/12/2024;n.d.;n.d.;n.d.;17;n.d.;n.d.;2611;n.d.;n.d.;n.d.
115.;WE ARE REMOTERS S.L.;B67866822;BARCELONA;ESPANA;2;03/12/2021;31/12/2024;6,01;1.012;2.781;3;174,09;1,74;6202;22,3;65;30
116.;HORNSTROMP SERIES SL.;B01960509;MOSTOLES;ESPANA;n.d.;03/11/2020;31/12/2023;52,01;3.004;3.284;2;467,21;4,67;6201;4,49;1.564;1.194
117.;ELECTED ENERGY SOCIEDAD LIMITADA.;B90486572;DOS HERMANAS;ESPANA;1;24/04/2020;31/12/2024;44,39;373;2.781;5;209,14;2,09;6399;0;171;128
118.;TIKERS CONTENT FACTORY SL.;B01890698;MADRID;ESPANA;n.d.;02/09/2020;31/12/2024;20,05;1.841;2.837;7;147,08;1,47;6209;0,11;370;277
119.;HITZONE SPAIN SL.;B10929404;POZUELO DE ALARCON;ESPANA;n.d.;13/07/2022;31/12/2024;28,75;584;2.540;17;113,69;1,14;5821;0;181;126
120.;ZERCA MARKET DIGITAL SOCIEDAD LIMITADA.;B99540684;ZARAGOZA;ESPANA;915;06/02/2019;31/12/2024;1,89;2.103;3.242;28;101,04;1,01;6209;34,82;291;275
121.;COMUNISTONE SL.;B01775121;MADRID;ESPANA;208;21/07/2020;31/12/2024;9,36;962;2.669;20;106,35;1,06;6190;27,87;140;51
122.;D2C ECOMMERCE S.L.;B67627521;BADALONA;ESPANA;340;02/06/2020;31/12/2024;0,48;1.221;1.966;7;168,03;1,68;6209;2,89;123;50
123.;KAPRES TECHNOLOGY SL.;B88589080;MADRID;ESPANA;220;24/02/2020;31/12/2024;16,02;1.411;3.569;50;144,91;1,45;6202;34,42;235;216
124.;BIGBLUE NETWORK SL.;B67928515;MADRID;ESPANA;3;17/02/2022;31/12/2023;-163,12;449;3.176;10;15,81;0,16;6209;271,58;-728;-774
125.;RINDUS TECHNOLOGY 2 SL.;B93746972;MALAGA;ESPANA;n.d.;06/04/2020;31/12/2023;11,63;744;3.162;30;111,91;1,12;6202;5,34;87;70
126.;LOGALTY SOLUTIONS SL.;B02731974;ALCOBENDAS;ESPANA;209;28/10/2020;31/12/2024;-0,44;88.051;529;5;28,76;0,29;6209;33,72;-256;-2.140
127.;EXETEN MEDITERRANEO SL.;B42655126;MURCIA;ESPANA;122;19/06/2019;31/12/2024;7,3;897;2.275;35;184,99;1,85;6202;22,53;126;44
128.;MESSAGE BITE SOCIEDAD LIMITADA.;B44530103;CASTELLO PLANA/CASTELLON PLANA;ESPANA;n.d.;26/09/2019;31/12/2024;25,05;583;3.114;2;159,46;1,59;6190;0;147;116
129.;LALIGA CONTENT PROTECTION SL.;B01789593;MADRID;ESPANA;2.733;21/07/2020;31/12/2023;-0,08;6.611;3.134;31;128,91;1,29;6209;23,81;690;472
130.;INDIPLU EUROPA, SOCIEDAD LIMITADA.;B01723790;LAS PALMAS DE GRAN CANARIA;ESPANA;n.d.;10/07/2020;31/12/2023;10,14;2.358;3.127;6;110,68;1,11;6201;83,7;244;237
131.;M2 ENERGY INVESTMENT PARTNERS SL.;B72368921;MARBELLA;ESPANA;n.d.;12/02/2019;30/11/2024;-0,35;76.902;n.d.;1;8.619,06;86,19;6190;0,02;-271;73.734
132.;ELTE ENERGETICA SL.;B67975490;SAN PEDRO DEL PINATAR;ESPANA;n.d.;01/01/2022;31/12/2024;43,41;242;568;6;741,12;7,41;6209;0;108;89
133.;BRANCHCREATION SL.;B42704056;ELX/ELCHE;ESPANA;n.d.;30/03/2020;31/12/2024;72,25;427;2.720;38;175,44;1,75;6209;0,14;310;232
134.;PM4GOV SL.;B67754432;SAN CRISTOVO DE CEA;ESPANA;1;01/12/2021;31/12/2024;61,96;713;1.245;21;213,99;2,14;6202;0,39;447;372
135.;COLLECTIVE MINDS SPAIN S.L.;B05495627;BARCELONA;ESPANA;n.d.;11/05/2021;31/12/2024;n.d.;n.d.;n.d.;34;n.d.;n.d.;6209;n.d.;n.d.;n.d.
136.;UNIVRSE CORE S.L.;B09643487;SANT JUST DESVERN;ESPANA;n.d.;20/01/2022;31/12/2024;n.d.;n.d.;n.d.;36;n.d.;n.d.;6209;n.d.;n.d.;n.d.
137.;ORBITAL EOS SOCIEDAD LIMITADA.;B40593055;PATERNA;ESPANA;323;14/06/2019;31/12/2023;1,19;1.512;2.999;12;106,9;1,07;6311;3,92;142;35
138.;AUTOMATICA INTELLIGENCE SL.;B44577526;EL ESCORIAL;ESPANA;n.d.;25/01/2023;31/12/2024;70,94;593;740;32;220,53;2,21;6202;0;422;327
139.;MACADAM TECHNOLOGIES S.L.;B44845337;BARCELONA;ESPANA;n.d.;09/03/2023;31/12/2023;15,56;1.223;2.980;3;113,02;1,13;6201;31,34;192;177
140.;WEBASSIST S.L.;B67497735;BARCELONA;ESPANA;n.d.;05/09/2019;31/12/2024;45,88;247;2.621;26;144,37;1,44;6209;1,53;115;84
141.;SECURE ONLINE MANAGEMENTS S.L.;B01794866;SITGES;ESPANA;n.d.;29/07/2020;31/12/2024;25,29;1.562;4.174;5;213,34;2,13;6209;0;395;306
142.;PUSHGROUND S.L.;B67376533;BARCELONA;ESPANA;n.d.;08/02/2019;31/12/2024;-61,63;367;2.887;2;75,87;0,76;6209;0;-226;-244
143.;INFINILEADS SL.;B93715886;BARCELONA;ESPANA;31;09/10/2019;31/12/2023;42,15;4.110;2.926;20;1.442,02;14,42;6399;0;1.737;1.303
144.;SIMUR EUROPE SL.;B42877605;MALAGA;ESPANA;13;12/02/2021;31/12/2024;58,55;522;2.326;23;296,16;2,96;6202;3,62;313;277
145.;YIELDPLANET S.L.;B67470104;BARCELONA;ESPANA;n.d.;04/07/2019;31/12/2024;2,41;1.413;664;32;10,24;0,1;6203;93,77;39;-25
146.;LEGAL PIGEON S.L.;B67471508;BARCELONA;ESPANA;123;10/07/2019;31/12/2024;16,29;577;1.822;11;113,28;1,13;6203;5,53;104;73
